state,district,taluka,source,source_code,location_note
Goa,North Goa,Bardez,LGD export 2026-06-21,5610,
Goa,North Goa,Bicholim,LGD export 2026-06-21,5612,
Goa,North Goa,Pernem,LGD export 2026-06-21,5609,
Goa,North Goa,Satari,LGD export 2026-06-21,5613,
Goa,North Goa,Tiswadi,LGD export 2026-06-21,5611,
Goa,South Goa,Canacona,LGD export 2026-06-21,5619,
Goa,South Goa,Dharbandora,LGD export 2026-06-21,5931,
Goa,South Goa,Mormugao,LGD export 2026-06-21,5615,
Goa,South Goa,Ponda,LGD export 2026-06-21,5614,
Goa,South Goa,Quepem,LGD export 2026-06-21,5617,
Goa,South Goa,Salcete,LGD export 2026-06-21,5616,
Goa,South Goa,Sanguem,LGD export 2026-06-21,5618,
Gujarat,Ahmedabad,Asarva,LGD export 2026-06-21,6512,CURRENT_NAME_ALIAS_APPLIED
Gujarat,Ahmedabad,Bavla,LGD export 2026-06-21,3784,CURRENT_NAME_ALIAS_APPLIED
Gujarat,Ahmedabad,Daskroi,LGD export 2026-06-21,3782,CURRENT_NAME_ALIAS_APPLIED
Gujarat,Ahmedabad,Detroj-Rampura,LGD export 2026-06-21,3778,CURRENT_NAME_ALIAS_APPLIED
Gujarat,Ahmedabad,Dhandhuka,LGD export 2026-06-21,3787,CURRENT_NAME_ALIAS_APPLIED
Gujarat,Ahmedabad,Dholera,LGD export 2026-06-21,6167,CURRENT_NAME_ALIAS_APPLIED
Gujarat,Ahmedabad,Dholka,LGD export 2026-06-21,3783,CURRENT_NAME_ALIAS_APPLIED
Gujarat,Ahmedabad,Ghatlodiya,LGD export 2026-06-21,6513,CURRENT_NAME_ALIAS_APPLIED
Gujarat,Ahmedabad,Mandal,LGD export 2026-06-21,3777,CURRENT_NAME_ALIAS_APPLIED
Gujarat,Ahmedabad,Maninagar,LGD export 2026-06-21,6515,CURRENT_NAME_ALIAS_APPLIED
Gujarat,Ahmedabad,Sabarmati,LGD export 2026-06-21,3781,CURRENT_NAME_ALIAS_APPLIED
Gujarat,Ahmedabad,Sanand,LGD export 2026-06-21,3780,CURRENT_NAME_ALIAS_APPLIED
